company_id,current_loan_amount,loan_term,credit_score,annual_income,years_in_industry,loan_industry,past_credit_problems,business_area,had_bankruptcy,property,loan_status
981165ec-3274-42f5-a3b4-d104041a9ca9,445412,Short Term,709,1167493,8,finance,1,urban,1,real estate,0
2de017a3-2e01-49cb-a581-08169e83be29,262328,Short Term,,,10,transport,0,urban,0,real estate,1
5efb2b2b-bf11-4dfd-a572-3761a2694725,1000000,Short Term,741,2231892,8,technology,1,urban,0,real estate,0
e777faab-98ae-45af-9a86-7ce5b33b1011,347666,Long Term,721,806949,3,advertising,0,urban,0,building society savings,1
81536ad9-5ccf-4eb8-befb-47a4d608658e,176220,Short Term,,,5,technology,0,urban,0,unknown/none,1
4ffe99d3-7f2a-44db-afc1-40943f1f9750,206602,Short Term,729,896857,10,transport,0,urban,0,unknown/none,1
90a75dde-34d5-419c-90dc-1e58b04b3e35,217646,Short Term,730,1184194,1,agriculture,1,urban,1,building society savings,0
018973c9-e316-4956-b363-67e134fb0931,648714,Long Term,,,1,finance,0,urban,0,other,0
af534dea-d27e-4fd6-9de8-efaa52a78ec0,548746,Short Term,678,2559110,2,finance,0,rural,0,real estate,1
235c4a43-dadf-483d-aa44-9d6d77ae4583,215952,Short Term,739,1454735,1,wholesale,0,rural,0,other,1
0de7bcdb-ebf4-4608-ba39-05f083f855b6,,Short Term,728,714628,3,finance,0,rural,0,other,1
aa0a6a22-a95e-48e0-ba4f-b83456d424e4,541970,Short Term,,,10,technology,0,urban,0,building society savings,1
11581f68-de3c-49d8-80d9-22268ebb323b,245023,Short Term,740,776188,1,transport,0,urban,0,other,0
900c9191-2c20-4688-af7e-07c59b5d5a24,560000,Short Term,743,1560907,4,health,1,urban,1,other,0
2ac05980-7848-4692-89ae-9321afe650f8,234124,Short Term,727,693234,10,transport,1,rural,1,other,0
3ec886e7-f15d-4c35-83d0-bdec4817ae4b,449020,Long Term,,,9,technology,0,rural,0,other,1
abb4c446-08ea-49ff-aeb8-5e1e9da673e7,653004,Long Term,,,7,manufacturing,0,urban,0,building society savings,1
967e8733-7189-49b7-a3ab-6a1d0e1abdac,666204,Long Term,723,1821967,10,agriculture,0,urban,0,other,1
c67b2cb5-9f91-4bcb-9a03-03d1589c6c1a,66396,Short Term,,,10,retail,1,rural,1,unknown/none,0
422f9b72-5041-407c-8ac4-982213deacd1,390390,Short Term,747,1791738,8,finance,0,rural,0,other,1
40f729c9-54c7-4768-9fb5-2fa41d074c48,317108,Long Term,687,1133274,8,real estate,0,urban,0,other,1
016c5139-4da2-44ba-a0a6-7b23597526a8,128238,Short Term,750,1354073,1,agriculture,0,rural,0,real estate,0
5b53e176-8fc7-48bf-9d78-ceb5aa284f36,153252,Short Term,714,1890690,2,wholesale,0,rural,0,real estate,1
eb166545-76e5-43ae-8c64-3fe5ebb9c729,91894,Short Term,724,850383,10,real estate,0,urban,0,building society savings,1
54f57722-2473-4dd8-b69b-82b5b0c1c9f9,244926,Long Term,704,1249953,4,finance,1,rural,0,other,1
cbe53e22-ba67-4eaf-a4fb-c5acdd12ec66,465410,Long Term,688,1722654,3,real estate,0,urban,0,real estate,1
9baf6d5d-f744-4332-abb0-e939b75cde40,,Short Term,724,1029857,1,construction,0,rural,0,other,0
2bdc133d-cbbf-46c1-a902-488924082993,443960,Short Term,749,1432391,2,retail,0,urban,0,real estate,1
689da294-ff83-4d49-986a-c61887f6d4e2,,Short Term,746,1749748,10,technology,0,rural,0,real estate,1
5129cffc-68a1-4dd9-8bfe-035f3478d6dd,107404,Short Term,,,1,wholesale,0,urban,0,unknown/none,1
f4226232-1c33-4d69-ada0-c88245fe345f,,Short Term,737,1501912,6,real estate,0,urban,0,real estate,1
247c59e9-cf6b-40a7-ae35-d102b69991cc,334620,Short Term,729,1348620,2,advertising,0,rural,0,other,1
1c9b6b3e-060d-4a70-8b08-522a7f589e89,130174,Short Term,733,524609,1,wholesale,1,urban,1,other,0
61a4f1ed-e2c3-401e-aec8-9b0d7178f5ff,333564,Long Term,725,1248338,10,transport,0,urban,0,unknown/none,1
2d53b50a-30a2-488e-a287-3780b26e62ba,109318,Long Term,,,10,wholesale,0,urban,0,building society savings,1
b91032a8-107c-4c0f-9ef8-c517e696f497,125796,Short Term,745,1261068,5,manufacturing,0,urban,0,building society savings,1
86b8d158-c6f7-4ff0-8aaf-4eb96a3e6adc,,Short Term,743,752039,4,transport,0,urban,0,unknown/none,1
d1d8497b-90bf-48ea-a8b1-40c909ab1f97,161172,Short Term,720,796499,8,food,1,rural,0,real estate,0
dedbd71d-dabd-4c64-a38f-bb5886e7f8b6,259842,Short Term,,,8,technology,0,rural,0,other,1
f7581a72-d073-48a3-934f-14bdfae93691,449108,Short Term,718,1454507,8,health,0,rural,0,real estate,1
64560eb4-f50d-4f14-8a86-b46c0381bef2,688468,Long Term,682,1494616,1,manufacturing,0,urban,0,other,0
33ca84d6-61ab-4e1c-9312-77228201e7dd,210166,Short Term,,,2,wholesale,0,urban,0,other,1
847e2dfa-a44c-4ec1-b05f-5d4a33e66885,327008,Long Term,,,4,transport,0,rural,0,real estate,1
628b0914-b1d7-4028-b590-b50f5da53d06,288948,Short Term,729,537472,10,transport,0,urban,0,other,1
c5a714bb-75c6-4264-a807-8a35bb12ce7d,311762,Long Term,680,2211657,4,advertising,0,urban,0,unknown/none,1
64a23638-0025-41de-b41d-85c01eee6f1a,266112,Short Term,750,919296,1,agriculture,0,rural,0,other,0
5d71bb9d-ce8b-499d-91bf-3df92426430d,129712,Short Term,723,1465698,10,construction,1,rural,0,other,0
24f6b0cb-17bd-4931-8cc9-b957f20efea5,287980,Short Term,737,1013954,1,advertising,0,rural,0,building society savings,0
6cfb0765-7cd8-4ef5-aa6e-f935caf57cf0,439428,Short Term,710,1518024,8,retail,0,urban,0,building society savings,1
1ee733fd-fda7-4666-bbcb-059103773627,456808,Long Term,598,1096167,10,advertising,0,urban,0,real estate,1
86d02184-ce07-4f47-9f68-45743fa29ced,518012,Long Term,719,1193010,10,wholesale,0,rural,0,building society savings,1
2884d362-391a-4941-af69-c825cae18002,219692,Long Term,661,527839,10,technology,0,rural,0,other,1
06d6c4a1-7a06-41c5-aeb1-fe0d7e5c895e,214874,Short Term,,,2,agriculture,0,urban,0,other,1
41988ec9-7368-42a3-bc2f-9882fb3779f6,374176,Long Term,652,1239199,10,wholesale,0,rural,0,building society savings,1
82b6502d-b24e-43d7-baf5-5624e566bfe3,,Long Term,730,2509520,10,transport,0,urban,0,unknown/none,1
48e551b4-6a6f-4450-bf3c-f0ee9bcb266e,176198,Short Term,736,1902090,10,health,0,urban,0,real estate,1
9966e08c-04a6-41ab-86d0-e4062c64bd41,78012,Short Term,738,728726,4,transport,0,urban,0,unknown/none,1
b6f9e737-6609-45fd-8d6c-37b1b64c45df,669372,Short Term,725,2158210,7,real estate,0,rural,0,other,1
0b25e0aa-3fe1-4540-8e6d-f6e579dfc84a,130922,Short Term,747,2261304,2,agriculture,0,rural,0,other,1
